timestamp,x,y,z
570151,2.17,-3.29,-0.21000001
570170,1.82,-3.605,-0.385
570189,2.1,-3.85,-0.28
570208,1.96,-3.85,-0.175
570228,1.575,-3.675,-0.105000004
570247,1.855,-3.675,-0.105000004
570266,2.905,-3.64,-0.07
570285,2.66,-3.22,-0.14
570304,1.505,-2.8,-0.28
570323,1.47,-2.765,-0.28
570342,2.59,-3.22,-0.035
570361,2.59,-3.535,0.245
570381,2.38,-3.535,0.28
570400,2.065,-3.71,0.28
570419,2.135,-3.99,0.14
570438,2.03,-3.5,0.28
570458,1.33,-2.66,0.315
570477,0.385,-3.955,-0.315
570496,0.665,-2.345,0.21000001
570515,-4.69,-1.05,-0.245
570535,3.01,-4.2,-0.875
570554,1.96,-4.2,-0.455
570573,-1.505,-2.345,-0.42000002
570592,2.38,-3.605,-0.42000002
570611,-1.47,-5.11,-0.21000001
570630,-3.885,-4.655,-0.525
570649,-1.96,-3.815,-0.175
570668,-0.455,-3.29,0.14
570688,0.63,-2.975,0.175
570707,0.91,-2.52,0.035
570726,-0.455,-2.03,-0.105000004
570745,-0.315,-1.82,-0.105000004
570764,0.91,-1.6800001,0.105000004
570783,1.6800001,-2.17,0.035
570802,1.12,-1.6800001,0.175
570821,-0.035,-1.4350001,-0.105000004
570841,0.14,-1.12,0.0
570860,-0.175,-1.645,0.07
570879,-0.245,-2.38,0.21000001
570898,-0.91,-2.52,0.595
570917,-1.785,-2.8,0.77
570936,-1.47,-3.08,0.945
570955,-0.91,-2.31,1.05
570974,-0.28,-1.47,0.98
570994,-1.19,-0.525,1.12
571013,-2.8,0.525,1.085
571032,-2.415,0.035,0.84000003
571051,-0.875,-1.085,0.665
571071,-1.505,-1.89,0.98
571090,-1.995,-1.89,1.12
571109,-1.365,-2.52,1.33
571128,-0.735,-3.3600001,1.47
571148,-1.54,-3.71,1.365
571167,-2.275,-2.24,1.54
571186,-2.205,0.0,1.505
571205,-2.205,-0.56,0.175
571224,-0.28,4.06,-0.525
571243,-1.225,8.68,-0.945
571262,7.385,8.435,-0.91
571281,2.975,9.135,1.295
571301,-2.17,10.57,3.7450001
571320,3.115,8.8550005,5.04
571339,1.47,6.3,5.915
571358,-2.345,5.565,5.285
571377,-1.82,6.37,4.655
571396,-0.63,6.93,3.675
571415,-0.245,5.215,2.625
571434,0.105000004,4.235,1.365
571454,0.07,4.515,0.35
571473,0.105000004,5.425,0.07
571492,0.07,5.145,0.14
571511,-0.385,3.255,0.035
571531,-1.26,2.52,0.105000004
571550,0.525,1.295,-0.07
571569,1.855,-0.56,-0.245
571588,2.695,-2.835,-0.315
571608,2.45,-4.095,-0.385
571627,1.12,-4.62,-0.525
571646,1.015,-4.97,-0.805
571665,1.12,-4.8650002,-0.84000003
571684,1.295,-4.76,-1.05
571703,1.575,-4.69,-1.12
571722,0.175,-4.69,-1.015
571741,0.07,-4.48,-0.875
571761,0.945,-4.62,-1.015
571780,1.925,-4.795,-1.12
571799,2.94,-4.9,-0.91
571818,1.33,-5.32,-0.7
571837,-0.385,-5.53,-0.735
571856,0.455,-4.97,-0.77
571875,1.225,-4.69,-1.05
571894,2.38,-3.885,-0.7
571914,-4.235,-2.52,-1.015
571933,-0.98,-3.395,-1.4
571952,-0.805,-4.55,-0.875
571971,-1.4350001,-3.5,-0.63
571991,-2.45,-1.995,-0.525
572010,0.385,-3.08,-0.35
572029,-2.905,-3.99,-0.105000004
572048,-3.5,-3.675,0.035
572068,-1.82,-3.01,-0.21000001
572087,-0.245,-2.905,-0.315
572106,-0.175,-2.835,-0.21000001
572125,-0.21000001,-3.08,-0.245
572144,-0.875,-3.15,-0.42000002
572163,-0.455,-3.5,-0.105000004
572182,1.4350001,-3.99,0.0
572201,1.33,-3.535,0.07
572221,0.91,-2.8700001,-0.455
572240,-0.175,-2.66,-0.315
572259,1.61,-3.325,-0.175
572278,2.975,-4.27,-0.315
572297,2.765,-4.305,-0.455
572316,1.575,-4.585,-0.245
572335,1.6800001,-4.9,0.07
572354,2.485,-4.8650002,0.14
572374,3.3600001,-4.585,0.07
572393,2.765,-4.375,0.21000001
572412,2.52,-4.2,0.175
572431,3.605,-3.885,0.315
572451,4.235,-3.535,0.385
572470,3.535,-3.71,0.35
572489,2.52,-3.92,0.385
572508,3.43,-3.5,0.63
572528,3.255,-3.675,0.385
572547,2.905,-4.375,0.42000002
572566,-2.59,-3.43,0.42000002
572585,-0.56,-4.305,-0.035
572604,1.89,-4.83,0.14
572623,1.05,-3.3600001,0.315
572642,-0.28,-2.17,0.42000002
572661,2.205,-3.955,0.35
572681,-1.155,-5.46,0.35
572700,-1.47,-5.18,0.42000002
572719,0.07,-4.235,0.56
572738,0.63,-3.7450001,0.455
572757,0.665,-3.605,0.385
572776,0.945,-3.045,0.315
572795,0.49,-2.835,0.07
572814,0.98,-2.8,0.0
572834,2.24,-3.01,-0.035
572853,3.08,-2.625,-0.105000004
572872,2.66,-1.82,-0.49
572891,2.45,-2.135,-0.63
572911,2.835,-2.975,-0.63
572930,2.345,-3.71,-0.735
572949,2.17,-4.095,-0.49
572968,2.66,-4.095,-0.42000002
572988,2.625,-3.78,-0.455
573007,2.17,-3.5,-0.315
573026,2.485,-3.57,-0.105000004
573045,2.31,-3.815,-0.035
573064,2.8,-3.57,-0.14
573083,2.59,-3.01,-0.14
573102,2.275,-2.59,-0.245
573121,2.31,-3.395,-0.21000001
573141,3.325,-3.675,-0.105000004
573160,3.605,-3.3600001,-0.175
573179,2.065,-3.255,-0.35
573198,1.015,-3.395,-0.175
573217,1.54,-4.165,0.07
573236,1.785,-4.935,0.0
573255,-1.54,-2.45,-0.035
573274,-2.905,-2.835,-0.77
573294,1.61,-5.25,-0.84000003
573313,1.47,-4.095,-0.105000004
573332,-0.315,-2.415,0.07
573351,2.065,-3.78,-0.035
573371,-1.715,-5.11,-0.14
573390,-1.855,-4.69,0.07
573409,-0.245,-4.095,0.42000002
573428,0.49,-4.06,0.455
573448,0.56,-3.955,0.385
573467,0.735,-3.115,0.385
573486,0.28,-2.695,0.28
573505,0.875,-2.73,0.245
573525,1.6800001,-2.94,0.175
