timestamp,sample
1024420,-126
1024428,-126
1024436,-98
1024444,-72
1024452,-75
1024460,-103
1024468,-126
1024476,-125
1024484,-93
1024492,-63
1024500,-39
1024508,-6
1024516,36
1024524,14
1024532,-108
1024540,-33
1024548,597
1024556,1403
1024564,1471
1024572,511
1024580,-681
1024588,-1180
1024596,-949
1024604,-613
1024612,-523
1024620,-502
1024628,-402
1024636,-301
1024644,-239
1024652,-201
1024660,-182
1024668,-174
1024676,-161
1024684,-125
1024692,-71
1024700,-40
1024708,-46
1024716,-59
1024724,-53
1024732,-26
1024740,17
1024748,74
1024756,116
1024764,108
1024772,44
1024780,-15
1024788,-38
1024796,-52
1024804,-77
1024812,-107
1024820,-129
1024828,-133
1024836,-125
1024844,-101
1024852,-78
1024860,-80
1024868,-102
1024876,-123
1024884,-140
1024892,-161
1024900,-175
1024908,-138
1024916,-31
1024924,86
1024932,126
1024940,93
1024948,46
1024956,27
1024964,20
1024972,8
1024980,-14
1024988,-44
1024996,-70
1025004,-74
1025012,-16
1025020,91
1025028,194
1025036,225
1025044,197
1025052,145
1025060,108
1025068,78
1025076,60
1025084,73
1025092,101
1025100,39
1025108,-169
1025116,-235
1025124,309
1025132,1228
1025140,1552
1025148,758
1025156,-482
1025164,-1111
1025172,-919
1025180,-509
1025188,-332
1025196,-293
1025204,-204
1025212,-157
1025220,-179
1025228,-199
1025236,-178
1025244,-110
1025252,-29
1025260,27
1025268,52
1025276,45
1025284,14
1025292,-11
1025300,6
1025308,55
1025316,88
1025324,57
1025332,-2
1025340,-19
1025348,9
1025356,7
1025364,-42
1025372,-109
1025380,-178
1025388,-266
1025396,-338
1025404,-352
1025412,-300
1025420,-254
1025428,-275
1025436,-317
1025444,-302
1025452,-272
1025460,-279
1025468,-279
1025476,-246
1025484,-223
1025492,-252
1025500,-323
1025508,-366
1025516,-334
1025524,-261
1025532,-203
1025540,-141
1025548,-94
1025556,-58
1025564,-29
1025572,-15
1025580,-15
1025588,-28
1025596,-45
1025604,-65
1025612,-93
1025620,-112
1025628,-95
1025636,-34
1025644,4
1025652,-18
1025660,-49
1025668,-61
1025676,-144
1025684,-347
1025692,-328
1025700,316
1025708,1181
1025716,1303
1025724,382
1025732,-750
1025740,-1143
1025748,-788
1025756,-339
1025764,-183
1025772,-161
1025780,-108
1025788,-62
1025796,-36
1025804,4
1025812,36
1025820,57
1025828,42
1025836,25
1025844,37
1025852,99
1025860,160
1025868,171
1025876,153
1025884,163
1025892,208
1025900,238
1025908,222
1025916,179
1025924,142
1025932,103
1025940,46
1025948,-9
1025956,-48
1025964,-68
1025972,-91
1025980,-122
1025988,-162
1025996,-206
1026004,-218
1026012,-198
1026020,-191
1026028,-219
1026036,-239
1026044,-225
1026052,-148
1026060,-50
1026068,-20
1026076,-57
1026084,-91
1026092,-79
1026100,-39
1026108,-14
1026116,-11
1026124,-2
1026132,18
1026140,31
1026148,58
1026156,108
1026164,128
1026172,106
1026180,85
1026188,86
1026196,107
1026204,131
1026212,103
1026220,-18
1026228,-4
1026236,529
1026244,1345
1026252,1556
1026260,706
1026268,-554
1026276,-1197
1026284,-1020
1026292,-612
1026300,-442
1026308,-424
1026316,-362
1026324,-310
1026332,-305
1026340,-291
1026348,-263
1026356,-219
1026364,-193
1026372,-188
1026380,-181
1026388,-154
1026396,-126
1026404,-101
1026412,-73
1026420,-37
1026428,12
1026436,50
1026444,55
1026452,46
1026460,21
1026468,-29
1026476,-89
1026484,-122
1026492,-108
1026500,-80
1026508,-84
1026516,-113
1026524,-154
1026532,-211
1026540,-278
1026548,-316
1026556,-305
1026564,-259
1026572,-225
1026580,-192
1026588,-154
1026596,-136
1026604,-168
1026612,-234
1026620,-282
1026628,-295
1026636,-299
1026644,-321
1026652,-342
1026660,-327
1026668,-293
1026676,-259
1026684,-210
1026692,-142
1026700,-61
1026708,-10
1026716,-36
1026724,-129
1026732,-221
1026740,-225
1026748,-119
1026756,12
1026764,57
1026772,33
1026780,61
1026788,160
1026796,200
1026804,63
1026812,-4
1026820,436
1026828,1160
1026836,1321
1026844,522
1026852,-595
1026860,-1135
1026868,-967
1026876,-640
1026884,-508
1026892,-437
1026900,-294
1026908,-218
1026916,-268
1026924,-330
1026932,-296
1026940,-173
1026948,-102
1026956,-158
1026964,-260
1026972,-255
1026980,-124
1026988,41
1026996,151
1027004,190
1027012,191
1027020,194
1027028,209
1027036,219
1027044,198
1027052,140
1027060,62
1027068,-7
1027076,-47
1027084,-41
1027092,12
1027100,69
1027108,116
1027116,146
1027124,174
1027132,228
1027140,305
1027148,334
1027156,279
1027164,182
1027172,114
1027180,117
1027188,173
1027196,248
1027204,312
1027212,319
1027220,268
1027228,208
1027236,188
1027244,192
1027252,202
1027260,201
1027268,201
1027276,213
1027284,238
1027292,252
1027300,216
1027308,102
1027316,-27
1027324,-100
1027332,-150
